skill_label,description
teach basic numeracy skills,Instruct students in the principles of mathematical literacy including basic mathematical concepts and calculations.
produce textile samples,Make up textile samples or have them fabricated by specialised workers or technicians.
calibrate mechatronic instruments,Correct and adjust the reliability of an mechatronic instrument by measuring output and comparing results with the data of a reference device or a set of standardised results. This is done in regular intervals which are set by the manufacturer.
manage the use of additives in food manufacturing,Managing the use of additives or preservatives for food.
Ruby (computer programming),"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Ruby."
consider ergonomic aspects of urban transportation,"Consider ergonomic aspects of urban transportation systems, affecting both passengers and drivers. Analyse criteria such as access to entrances, exits, and stairs of transport units, ease of displacement within the unit, access to seats, seat space for the user, form and material composition of the seats and the backrests, and the distribution of seats."
grade lumber,"Grade the quality of milled or rough-sawed lumber for irregularities, to ensure specified dimensions."
project commissioning,"Process of supervising the correct functioning of systems, buildings or plants during the final stages before deployment."
manage fuel inventory,Submit fuel orders in time; make sure fuel is delivered before reserves are depleted.
use computer-aided engineering systems,Use computer-aided engineering software to conduct stress analyses on engineering designs.
paint spraying techniques,"Field of information which distinguishes different kinds of paint spraying equipment and spraying techniques., and the order in which parts should be spray-painted."
manage security clearance,"Manage the systems and monitor the functioning of the security clearance system and staff working to ensure security of the facility, to ensure no non-authorised individuals acquire access and to monitor potential risks and threats."
label samples,"Label raw material/ product samples for laboratory checks, according to implemented quality system."
use polishing compounds,"Use the specified polishing compound such as emery powder, spreading it on the stone."
define an approach to your fight dicipline,Do an analysis of  the work and expertise in fight discipline and use this to find an approach in directing fight actions with the choreographer/director. 
maintain circus rigging equipment,"Check, maintain and adapt circus rigging equipment regularly and before each performance."
maintain hydraulic forging press,"Tend a hydraulic forging press, designed for forming hot or cold metal by use of a high energy force hydraulically, monitor and operate it, according to regulations."
monitor parking areas to maintain security,"Monitor the entry and exit routes within the parking areas and report on any hazards, accidents or violations."
support vessel manoeuvres,"Participate in manoeuvres at port: berthing, anchoring and other mooring operations. Contribute to a safe navigational watch."
place V-belts on rack,Place the V-belts on rack after collapsing the drum where the belts were cut.
assess animal behaviour,Observe and evaluate the behaviour of animals in order to work with them safely and recognise deviations from normal behaviour that signal compromised health and welfare.'
demonstrate professional attitude to clients,Demonstrate responsibility and professional duty of care to clients which will include communication skills and a focus of customer care orientation.
organise mail deliveries,"Organise mail and small package deliveries in an efficient, confidential, and safe manner."
obesity,"The causes, pathophysiology and effects on health of the excess of body fat."
adjust paper bag machine,"Control output of paper bags and be able to make minor adjustments to ensure the side seals, wicket holes, and lip size are within product or company specifications."
maintain mechanical equipment,"Observe and listen to machinery operation to detect malfunction. Service, repair, adjust, and test machines, parts, and equipment that operate primarily on the basis of mechanical principles. Maintain and repair vehicles meant for cargo, passengers, farming and landscaping."
hardware architectures,The designs laying out the physical hardware components and their interconnections.
issue sport equipment,"Rent or sell sporting equipment, supplies and accessories."
operate fish processing equipment,"Operate equipment for canning, drying, freezing, smoking, high pressure processing of fish, or other types of processing of fish following established procedures."
design well paths,Design and calculate multilateral and horizontal well paths.
develop translation memory software,Develop and improve translation memory software for retrieving equivalent target texts in existing databases when translating from one language to another.
advise on bridge replacement,Estimate the need for a bridge to be replaced and report to the responsible owner or institution.
assist with self-medication,Assist individuals with disability in taking their medication at appropriate times of the day.
test concrete,Test concrete hardness so that it is according to specifications and ready to be removed from moulds.
provide teacher support,"Assist teachers in classroom instruction by providing and preparing lesson materials, monitoring the students during their work and helping them in their learning where necessary."
match actors to roles,"Match the perfect actor to each role based on their experience, ability, reputation, availability, and box office appeal."
operate dealership management system,"Operate and maintain the management information system that caters to the needs of the finance, sales, parts, inventory and administrative aspects of running the business."
sedimentology,"The study of sediments, namely sand, clay, and silt, and the natural processes undergone in their formation."
inspire enthusiasm for dance,"Encourage and enable people, especially children, to become involved in dance and to understand and appreciate it, either privately or in public contexts."
design pipelines with different coating solutions,Design pipelines envisioning different coating solutions in accordance with the goods intended for transportation. Design pipeline coating solutions following standards.
obtain information on various nautical subjects,Obtain information on various nautical technical and safety subjects.
osteopathy,"The type of alternative medicine which manipulates the body`s muscle tissues, joints and bones."
inventory management rules,The specific principles and techniques used in order to determine the approapriate level of inventory required.
herbicides,Types of chemical characteristics of herbicides and their adverse human and environmental effects.
advise on food preservation,"Advise on ingredients, processes, and technologies that allow the preservation of food until it gets to the consumer."
physical characteristics of railways,"Familiar with all physical aspects of the railway, including train stations, the incline and decline of the right-of-way and speed limits."
mitigate waste of resources,Evaluate and identify opportunities to use resources more efficiently with continuously striving to reduce waste of utilities.
use food cutting tools,"Trim, peel and slice products with knives, paring or food cutting tools or equipment according to guidelines."
tennis,"The techniques and rules of tennis such as the different strokes, types of courts and how to play on them, equipment and scoring."
staple spinning machine technology,"Technologies, operations, monitoring and maintenance of machines during the yarn spinning process."
receive patient referrals with eye conditions,"Receive patient referrals from the eye casualty and neurology departments, eye clinics, general practitioners, health visitors and community clinics."
receive veterinary clients and their animals for appointments,"Receive veterinary clients, making sure that they and their animals are prepared for appointments.'"
sell vehicle parts,Identify which part is best suited to the customer's needs and specific type of car; sell and install the appropriate parts.
match frames to pictures,Choose the appropriate frame to suit the picture taking different aspects into account such as style and colour.
handle incidents,"Handle incidents, such as accidents, emergencies or theft in a appropriate manner according to the organisation's policies and regulations."
"hardware, plumbing and heating equipment products","The offered hardware, plumbing and heating equipment products, their functionalities, properties and legal and regulatory requirements."
select pattern material,"Select the appropriate material, such as a specific type of metal, wood or plastic, for patternmaking in service of casting processes."
use thermal analysis,"Use software tools such as Icepak, Fluens and FloTHERM as a means to develop and optimize thermal control designs in order to cope with a wide range of difficult problems regarding thermal products and properties of thermal materials."
manage lost and found articles,Make sure that all articles or objects lost are identified and that the owners gets them back in their possession.
present drinks menu,"Acquaint guests with items on the drinks menu, make recommendations and answer questions regarding beverages."
supervise performers' fights,"Communicate expectations and targeted results, transmit the fight sequences, and technical aspect of the fighting discipline, etc. Help the performers/dancers internalise the fights sequences and fighting techniques. Supervise them in action and motivate and help them them achieve their maximum potential. Make performers them aware of the associated risks. Get performers to rehearse fights."
perform laboratory tests on footwear or leather goods,"Perform laboratory quality control tests on footwear, leather goods or its materials or components following national and international standards. Prepare samples and procedures. Analyse and interpret tests results and produced reports. Cooperate with outsourced laboratories."
handle working animals,"Handle and care for working animals. This includes preparation of animal, working environment and equipment, control and monitoring of the animal during work activities, and care afterwards."
supervise data entry,"Supervise the entry of information such as addresses or names in a data storage and retrieval system via manual keying, electronic data transfer or by scanning."
energy therapy,Alternative medicine therapy which assumes that healers use the channel healing energy to get positive effects on the patients` well-being.
neuroanatomy of animals,"The study of the central and peripheral nervous system of animals, including its components such as the fiber tracts and the visual, sensory, auditory and motor pathways."
recreation activities,The field and characteristics of recreational activities for customers.
metalworking,"The process of working with metals to create individual parts, assemblies, or large-scale structures."
various types of sand,"Types of sand materials and their composition, physical characteristics, use cases and possible issues."
operate fishing equipment machinery,"Set up and operate machinery to form fishing equipment or accesories such as rods, hooks and lines."
usability engineering,The methods of assessing usability and deriving structured recommendations from the results of an usability test with respect to user needs and behaviours in order to achieve efficient and elegant user interface design.
liaise with engineers,"Collaborate with engineers to ensure common understanding and discuss product design, development and improvement."
plan allocation of space,"Plan best allocation and utilisation of space and resources, or re-organise current premises."
analyse stress resistance of products,"Analyse the ability of products to endure stress imposed by temperature, loads, motion, vibration and other factors, by using mathematical formulas and computer simulations."
animal food products,"The principles of traceability, hygiene and processes involved in the production, manufacture, storage and putting into circulation of animal feedstuffs, or foodstuffs of animal origin intended for human and/or animal consumption."
oversee extra-curricular activities,Supervise and potentially organise educational or recreational activities for the students outside of mandatory classes.
handle meat processing equipment in cooling rooms,Push and put carcasses in and out the cooling room as specified. Use equipment specific to this room to handle meat and meat products.
handle documentation for prepared animal feeds,Registering the required transport documents for prepared animal feeds. Registering medicated feeds.
hatchery design,"The components of planning, layout and ventilation involved in a hatchery for designated species of fish, molluscs, crustaceans or others as required."
assemble manufactured pipeline parts,Assemble parts and components made for pipelines in companies or sites. Construct pipeline infrastructures or re-assemble parts that were taken out for repair. Use welding equipment and other tools in assembly activities.
manage hospitality revenue,"Oversee a hospitality revenue by understanding, monitoring, predicting and reacting to consumer behaviour, in order to maximise revenue or profits, maintain budgeted gross profit and minimise expenditures."
adapt production levels,"Adapt current production levels and strive to improve the current production rates looking for economic gains and margins. Negotiate improvement with sales, dispatch and distribution departments."
prepare casting budget,"Prepare, together with the production accountant, the budget for the hiring of the actors and extras."
manufacturing of wearing apparel,The  processes used to fabricate wearing apparel and the different technologies and machinery involved in the manufacturing processes.
promote agricultural policies,"Promote the inclusion of agricultural programmes on a local and national level, in order to acquire support for agricultural development and sustainability awareness."
maintain system logs,Maintain system logs or manuals to document equipment testing and operation.
process incoming electronics supplies,"Receive incoming electronics supplies, handle the transaction and enter the supplies into any internal administration system."
cook fish,Prepare fish dishes. The complexity of the dishes will depend on the range of fish used and how they are combined with other ingredients in their preparation and cooking.
honey constituents,"Components of honey such as fructose, water, glucose and other type of sugars and their interactions in the production/extraction of honey products."
advice on security risk management,"Provide advice on security risk management policies and prevention strategies and their implementation, being aware of the different kinds of security risks a specific organisation faces."
coating machine parts,"The various parts, qualities and applications of a manufacturing machine designed for providing workpieces with a, sometimes protective, finishing coat, such as the drum unloader, feed hopper, rotary sieve, spray booth, (powder) spray guns, dry cartridge collector, final filters, high voltage power supply point, and others."
promote sustainable packaging,Apply safe and healthy packaging policies; maximise the use of recycled or renewable source materials; implement clean production technologies.
tend cold extrusion machine,"Tend an extrusion machine designed for forming cold metal whilst right below its recrystallisation temperature, monitor and operate it, according to regulations."
inspect soap production operating units,"Inspect the equipments and machinery used in powder-producing towers such as soap-spray storage tanks, collectors, towers, driers or scrubbers."
types of orthopedic supplies,"Various types of orthopaedic supplies such as braces and arm supports, used for physical therapy or physical rehabilitation."
operate wood sawing equipment,Operate various machinery and equipment to cut wood in different sizes and shapes.
supervise waste water treatments,Supervise waste water treatment according to environmental regulations.
affix memorial plaques,Attach memorial plaques to the right gravestones as requested by the deceased person's will or by their relatives.
create theatre workbooks,Create a stage workbook for the director and the actors and work extensively with the director prior to the first rehearsal.
types of bath tubs,"Different types of bath tubs, including sitting baths, baths that open to the side to accommodate people with difficulties entering and exiting regular baths, and whirlpool baths. The aesthetic and functional aspects of each type and their price points."
apply ICT systems theory,Implement principles of ICT systems theory in order to explain and document system characteristics that can be applied universally to other systems
collect biological data,"Collect biological specimens, record and summarise biological data for use in technical studies, developing environmental management plans and biological products."
Scala,"The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in Scala."
collect samples,"Set up and operate equipment to collect water, gas or soil samples for testing."
monitor radiation levels,"Use measuring and testing equipment and techniques to identify the levels of radiation or radioactive substances in order to control exposure and minimise health, safety, and environmental risks."
operate mixing of food products,"Perform all kinds of mixing operations of raw materials, half-finished products and foodstuffs."
climatology,The scientific field of study that deals with researching average weather conditions over a specified period of time and how they affected nature on Earth.
plan daily ship operations,"Plan the day-to-day activities on board ships, including tasks related to navigational safety, cargo, ballast, tank cleaning and tank inspections."
operate creasing machinery,"Feed material squarely into the machine and check that the position of cuts and creases is correct, without damage. Produce a sample to match required standards and to possibly make adjustments."
describe the flavour of different beers,"Describe the taste and aroma, or flavour of different beers using the adequate lingo and relying on experience to classify beers."
manage service contracts in the drilling industry,"Establish and manage service contracts for people working in a drilling company, which includes the nature, duration, fee and other characteristics of the cooperation between the organisation and the person."
follow safety procedures when working at heights,"Take necessary precautions and follow a set of measures that assess, prevent and tackle risks when working at a high distance from the ground. Prevent endangering people working under these structures and avoid falls from ladders, mobile scaffolding, fixed working bridges, single person lifts etc. since they may cause fatalities or major injuries."
collect healthcare user data under supervision,"Collect qualitative and quantitative data related to the healthcare user's physical, psychological, emotional and social status and functional ability within set parameters, monitoring healthcare user's responses and status during the performance of assigned measures/tests and taking appropriate action, including reporting the findings to the physiotherapist."
track shipping sites,Track the different shipping sites where packages arrive in order to maintain an efficient distribution system and on-time tracking systems for customers.
put up signs,"Put up signs using a posthole digger, shovel, tamper, and other manual tools."
maintain camping facilities,"Keep campsites or areas for recreation, including maintenance and supply selection."
discern written communication,"Strive to understand and give sense to written communication either live, emails, and texts. Confirm with the recipient whether the assumption made based on the communication are valid and reflect the meaning of the sender."
program home alarm systems,"Select the right settings for the specific situation where the alarm system will operate. Set up zones with different policies if called for. Define how the system will be armed and disarmed. Choose actions to take if the system is triggered, and select various other settings."
tend V-belt covering machine,"Tend the machine that covers the V-bels with rubberized fabrics, making sure the end product is according to specifications."
cosmetic dental procedures,"The dental restoration procedures and treatments that enhance the appearance of patients` teeth such as bleaching, enamel recontouring and adhesive dentistry, porcelain veneers, inlays, onlays and dental crowns."
feed the slate mixer,Feed the mixer conveyor with the specified amounts and colors of slate granules by pulling the levers which allow depositing materials.
maintain sanding machines,"Clean and oil the machines used for smoothing surfaces, check for signs of corrosion, replace defective parts, and perform minor repairs to ensure good functioning."
perform hand pruning,"Efficiently perform hand pruning by using specific pruning tools like shears, lopping shears, saw, a small pocket scale to weigh the pruned material, and twine."
manage vault access,Ensure access to vaults is granted to authorised persons and open the vault for financial transactions. Provide vault attendant services.
mine safety legislation,"The laws, regulations and codes of practice relevant to safety in mining operations."
practice humour,"Share humourous expressions with audience, eliciting laughter, surprise, other emotions, or a combination thereof."
teach chemistry,"Instruct students in the theory and practice of chemistry, more specifically in biochemistry, chemical laws, analytical chemistry, inorganic chemistry, organic chemistry, nuclear chemistry, and theoretical chemistry."
provide advice on furniture maintenance,"Provide information to clients on the products or methods to use in order to maintain the appearance and quality of their furniture, according to its type of fabric or material."
distribute pensions,Pay pensions and other benefits to customers. Check correctness of documents and make sure the correct amount of cash is given
perform kiln maintenance,Perform small maintenance tasks on drawing kiln such as replacing the cooling pads of the jacket and plugging in the kiln with mortar.
perform project management,"Manage and plan various resources, such as human resources, budget, deadline, results, and quality necessary for a specific project, and monitor the project's progress in order to achieve a specific goal within a set time and budget."
laboratory methods in biomedical sciences,"The types, characteristics and procedures of laboratory techniques used for a wide range of medical tests such as serological tests."
communicate mine equipment information,"Communicate transparently and efficiently with mine production management and machine operators. Pass on any relevant information such as outages, efficiency and productivity of the equipment."
counsel healthcare users on medicines,"Discuss and agree with healthcare users on the appropriate use of medicines, providing the healthcare user with sufficient information to assure the safe and proper use of the medicine."
follow a brief,"Interpret and meet requirements and expectations, as discussed and agreed upon with the customers."
calculate materials,Determine the amount and the kind of materals necessary to build certain machines or equipment.
process man-made fibres,Converting synthetic granule into man-made-fibres such as filament yarns or staple fibre yarns.
control train departures,Monitor and control departure of trains; prepare outbound trains with the required number of carriages and provide safety assurance.
handle humanitarian response programs,"Facilitate the distribution of humanitarian aid within geographical areas affected by war, natural disasters or other environmental problems and hazards."
handle intermodal equipment,"Handle intermodal equipment e.g. cranes, sideloaders, forklifts and hostler trucks."
plan multi-agenda event,Organise events and programmes which deliver content for multiple groups in parallel.
replace tyres,Replace worn out or broken tyres of motor vehicles by using hand and power tools. Choose new tyres according to customer requirements and motor vehicle model.
carry out maintenance on cage equipment and machinery,"Carry out maintenance on cage equipment and machinery, such as containment systems, lifting gear, transportation gear, disinfection equipment."
conduct performance tests,"Conduct experimental, environmental and operational tests on models, prototypes or on the systems and equipment itself in order to test their strength and capabilities under normal and extreme conditions."
cope with blood,"Cope with blood, organs, and other internal parts without feeling distressed."
electrical operation of trolley buses,"Understand the electrical operation of a trolley bus, including the use of two wires and poles to complete the electrical circuit of the bus."
fabric spreading in the fashion industry,Preparatory operation for cutting textile pieces which consists of laying piles of cloth on top of the other in a pre-determined direction and relationship between the right and the wrong side of the cloth.
manage a good diction,Speak clearly and precisely so that others understand exactly what is being said. Pronounce words accurately so as not to make mistakes or unintentionally say something incorrect.
budget for financial needs,Observe the status and availability of funds for the smooth running of projects or operations in order to foresee and estimate the quantity of future financial resources.
investigate social security applications,"Investigate the eligibility of citizens applying for social security benefits by examining documents, interviewing the citizen, and researching the related legislation."
satisfy technical requirements,Take into consideration technical requirements coming from the clients or from the engineers in order to integrate them into the design.
work on the effects of abuse,"Work with individuals on the effects of abuse and trauma; such as sexual, physical, psychological, cultural and neglect."
sell floor and wall coverings,"Sell rugs, curtains, linoleum samples and carpets in an attractive way, so that customers are incited to buy."
debug software,"Repair computer code by analysing testing results, locating the defects causing the software to output an incorrect or unexpected result and remove these faults."
take drive-through orders,"Accept drive-through orders for food and drinks and prepare, pack and hand items to customers."
food hygiene rules,"The set of national and international regulations for hygiene of foodstuffs and food safety, e.g. regulation (EC) 852/2004."
design graphics,Apply a variety of visual techniques in order to design graphic material. Combine graphical elements to communicate concepts and ideas.
demonstrate specialisation in a dance tradition,"Demonstrate an embodied understanding of dance and dance-making, and an informed artistic viewpoint of your chosen dance style, that enables you to reconstruct or create a choreographic work fully immersed in your selected dance tradition."
manage corrective actions,Implementing corrective action and continuous improvement plans from internal and third party audits to meet food safety and quality performance indicators with adherance to agreed timescales.
keep promotions records,Keep records on sales information and distribution of materials. File reports on customer reactions to their employers' products and promotions; present these reports to their managers.
organise compositions,"Arrange and adapt existing musical compositions, add variations to existing melodies or compositions manually or with the use of computer software. Redistribute instrumental parts."
test artist flying systems,Monitor or try flying systems to ensure health and safety conditions are adequate.
maintain the trust of service users,"Establish and maintain the trust and confidence of the client, communicating in an appropriate, open, accurate and straightforward way and being honest and reliable."
teach electricity principles,"Instruct students in the theory and practice of electricity, with the aim of assisting them in pursuing a future career in this field, more specifically in maintenance and repair of electrical systems."
examine geochemical samples,"Analyse laboratory samples using equipment such as spectrometers, gas chromatographs, microscopes, microprobes and carbon analysers. Determine the age and characteristics of environmental samples such as minerals, rock or soil."
pilot boat for medical emergency services,Be able to pilot a boat in order to respond to medical emergencies and provide medical help in areas not accessible by vehicles or helicopters.
use CAD for lasts,"Be able to digitise and scan the lasts. Work with various 2D and 3D CAD systems and use the software to adopt and transform the shape of the lasts according to dimensional requirements of the customer. Making 2D templates for controlling the shape of the new last. Produce technical drawing and prepare technical specification sheets for manufacturing. Grade the last. Export the files of the virtual model to 3D printers, CAM or CNC systems."
negotiate land acquisition,"Negotiate with landowners, tenants, mineral rights owners or other stakeholders of land containing mineral reserves in order to buy or lease the land."
manage aquatic resources,"Collect and select fish or other organisms from the culture environment. Handle, clean and classify the specimen. Prepare for harvesting and transport to the point of sale. Adapt techniques depending on the specific species, the next step in the process, and the final purpose."
performing arts fights legal regulations,"The legal disclosures and insurances one need to work as fight director with performers, taking into account the use of weapons and risk assesment."
instruct on set up of equipment,Instruct others on how to properly and safely set up equipment according to specifications and regulations.
work in multidisciplinary health teams,"Participate in the delivery of multidisciplinary health care, and understand the rules and competences of other healthcare related professions."
supplier management,"The methods and techniques to ensure that external services and configuration items, which are necessary for the service delivery, are available as requested and as agreed at the service level."
communicate with tenants,"Communicate in a positive and cooperative manner with the tenants of a property or part of a property, such as apartments and sections of commercial buildings, in order to facilitate efficient procedures in terms of rent and other contractual agreements as well as to ensure their satisfaction."
repair medical devices,Repair or modify medical appliances and supportive devices according to the specifications.
sell gaming software,"sell games, consoles, gaming computers and gaming software."
liaise with port users,"Communicate and cooperate with port users such as shipping agents, freight customers and port managers."
administer anaesthetics to patients,"Give anaesthetics to patients for intensive care and surgery using local anaesthetic for a minor operation on a small area of the body, regional anaesthetic and general anaesthetic."
work with the camera crew,Work with the crew responsible for the camera operation and movement to get directions from them on where to stand for an aesthetic result.
execute vehicle maintenance,"Execute vehicle maintenance based on supplier or manufacturer instructions. This might include cleaning vehicle engine, cleaning vehicle interior and exterior, maintaining mileage and fuel records, performing non-mechanical maintenance tasks. Service small engines including hydraulic equipment. Check the oil and fluid levels on all equipment. Check vehicles and equipment to insure that they are in smooth and safe working order."
assess ergonomics of the workplace,Assess ergonomics of the workplace in relation to the human resources.
manage physical resources,"Manage the physical resources (equipment, materials, premises, services and energy supplies) required to carry out planned activities in the organisation"
pose nude,Pose nude as the object of an artistic creation. Model nude before an audience.
make made-to-measure garments,Make garments and other wearing apparel according to specific measures and tailored patterns.
wood products,"The various wood products such as lumber and furniture, their functionalities, properties and legal and regulatory requirements."
cope with decompression,"Ascend from a dive in stages or slowly according to a decompression plan in order to give the body time to adapt to the lowered pressure. Prevent the buildup of dissolved gases in living tissue, as well as other symptoms linked to rapid ascent, collectively known as decompression sickness or ""the bends""."
prune plants,"Carry out pruning with relevant tools, related to the different purposes like maintenance pruning, pruning for growth, pruning for fruiting, debudding and volume reduction."
process medical insurance claims,Contact the patient`s health insurance company and submit the appropriate forms with information on the patient and treatment.
assess healthcare users' risk for harm,"Evaluate the healthcare user's potential for harm to him- or herself or others, intervening effectively to minimise risk and implement prevention methods."
detect microorganisms,"Use various laboratory methods and tools such as gene amplification and sequencing to detect and identify microorganisms such as bacteria and fungi in soil, air, and water samples."
supervise physiotherapy students,"Supervise, educate and provide learning opportunities for physiotherapy students."
identify necessary human resources,"Determine the number of employees needed for the realisation of a project and their allocation in the creation, production, communication or administration team."
perform body piercings,"Puncture or cut parts of people's bodies, to create an opening for jewellery or rings."
identify cloth items,"Count and collect the items, and provide them with the drop off and delivery dates. Fix tags with a safety pin or staple, describing important information about the customer. Apply special colored tags for different sorts of treatments, and assemble and re-assemble the order after the laundry and dry cleaning process."
manufacture staple yarns,"Perform the operation, monitoring and maintenance of machines and processes to manufacture staple fiber yarns."
take orders for special publications,"Take orders from customers in search of special publications, magazines and books that cannot be found in regular bookstores or libraries at the time being."
maintain dredging equipment,"Keep the dredging equipment in good condition. Regularly inspect suction elements, pumps, cables, cutterheads and other elements and take the necessary steps to repair any damage or wear."
determine historic climate changes,"Analyse samples taken from ice cores, tree rings, sediments, etc. in order to gain information on climate changes during the history of Earth and their consequences for life on the planet."
measure reservoir volumes,"Estimate the volume of an oil and gas reservoir by measuring its areal extent, rock pore volume, and the fluid content within the pores."
manage gambling operation,"Manage all aspects a gambling, betting or lottery operation. Deliver effective, efficient performance. Implement an effective rota and manage staff for the available products. Seek and develop knowledge of the industry, looking for opportunities, profit optimisation, margin and turnover in all areas of the company and make the appropriate business recommendations for implementation. Employ effective change management to effectively improve business performance."
design evaluation methods in music therapy,Design methods for evaluating and measuring client progress and the effectiveness of therapeutic strategies within music therapy.
communicate effectively in healthcare,"Communicate effectively with patients, families and other caregivers, health care professionals, and community partners."
religious studies,"Study of religious behaviour, beliefs, and institutions from a secular point of view and based on methodologies from various fields such as anthropology, sociology, and philosophy."
merchandising techniques,The selling techniques to attract customers and increase sales.
prevent technical problems with flying equipment,Anticipate technical issues with flying equipment and prevent them where possible.
execute feasibility study,"Perform the evaluation and assessment of the potential of a project, plan, proposition or new idea. Realise a standardised study which is based on extensive investigation and research to support the process of decision making."
supervise laboratory operations,"Supervise the staff working in a laboratory, as well as oversee that equipment is functional and maintained, and procedures occur in compliance with regulations and legislation."
perform bone marrow transplant,"Perform cord blood transplant and manage its side effects in order to replace damaged or destroyed bone marrow with healthy bone marrow stem cells for patients affected by cancers, such as leukaemia, lymphoma, aplastic anaemia or severe immunodeficiency syndromes."
negotiate terms with suppliers,Identify and work with suppliers to ensure quality of supply and best price has been negotiated.
apply sport games rules,"Develop and sustain the ability to apply rules, within the spirit of the sport activity and competition, and in a professional and respectful manner."
examine dental models and impressions,Examine models and impressions of the patients` teeth in order to determine the design of dental products to be constructed.
maintain clocks,"Clean and remove grease from clock and watch components, apply oil to hinges, adjust components, and store them in a waterproof space."
manage port operations,Execute port strategy in order to gain sufficient revenue and provide optimal customer service.
surveying methods,"Have an understanding of surveying methods, remote sensing methods and equipment."
service rooms,"Offer room service and, where appropriate, service public areas, including cleaning surfaces, bathrooms, replacing linen and towels and restocking guest items."
drive two-wheeled vehicles,Drive two-wheeled vehicles such as bicycles and motorcycles for the performance of different tasks relating to the transportation of goods and passengers.
air traffic management,"Thoroughly understand the major activities in air traffic management, such as air traffic control, air traffic flow management, and aeronautic information services."
online job platforms,Online platforms which display job offers.
"design the digital interface of gambling, betting and lottery games","Create the digital outlook of gambling, betting and lottery games to make them appealing to the audience."
design wind farm collector systems,"Design systems which interconnect individual wind turbines on a wind farm and collect the energy and transfer it to a substation, which will allow for the transmission of the generated electrical energy, ensuring that the system connects the turbines to each other and the substation in a safe and efficient manner."
emergent technologies,"The recent trends, developments and innovations in modern technologies such as biotechnology, artificial intelligence and robotics."
draw up rehearsal notes,"Document the rehearsal. Note the choreographer's instructions, the instructions of collaborators, names of choreographic sections, how the dance sequences are related to other components of the work, corrections and any changes to be made to the work in progress. Draw spatial diagrams of the choreography."
packaging processes,Packaging design and development. Decorating and printing processes executed in packaging. Pckaging machinery and line operations.
create musical forms,"Create original musical forms, or write within existing musical formats like operas or symphonies."
analyse business objectives,Study data according to business strategies and objectives and make both short-term and long-term strategic plans.
weigh animals for food manufacturing,Weigh and classify bodies of animals and assign the carcass to a slaughterhouse customer.
direct amusement park clients,"Guide visitors to rides, seats, and attractions."
arrange audio-visual products in classification order,Arrange various video and music materials such as CD's and DVD's; sort audio and video material on shelves in alphabetical order or according to genre classification.
protective safety equipment,"The processes and materials used to create safety equipment such as fire-fighting equipment, gas masks or headgear."
CAD for footwear,The architecture and functionality of 2D and 3D computer assisted design software systems for footwear.
create animal records,Create animal records according to industry relevant information and using appropriate record keeping systems.
take weather conditions into account,"Delay or cancel flights if unsafe weather conditions might endanger the safety of aircraft, passengers or crew."
snowboard,"The techniques related to snowboarding, the styles such as apline snowboarding, free ride, jibbing and the equipment used in snowboarding."
collaborate with designers,Communicate and collaborate with fellow designers in order to coordinate new products and designs.
determine visual concepts,Determine how best to represent a concept visually.
use textile finishing machine technologies,Use textile finishing machine technologies that enable the coating or laminating of fabrics.
perform enamelling,Apply enamel paint on surface using brushes.
ensure law application,"Ensure the laws are followed, and where they are broken, that the correct measures are taken to ensure compliance to the law and law enforcement."
clean train interiors,"Use cleaning techniques such as sweeping, dusting and vacuuming to clean railway cars. Undertake more extensive cleaning by washing and shampooing the upholstery and carpets or floor of the train."
attend to sophrology clients,"Observe participants` breathing and relaxation techniques, giving feedback, correcting when needed and guaranteeing that sufficient personal attention is provided to each participant in the sophrology session."
take artistic vision into account,Take the artistic and creative vision of the organisation into account when selecting a project.
operate rotary vacuum-drum filter,Set up and monitor the machine that produces pads or cakes by creating a vacuum to draw the slurry through a filter onto the rotating drum and to remove moisture.
tend pyrotechnics drying room,"Tend the pyrotechnics drying room ensuring the processes of curing, drying and storage are according to specifications."
speak in public,"Address a group of listeners in a structured, deliberate manner to inform, influence or convince them."
study fish migration,"Perform research and study the fish migration and movement, taking into account the environmental factors such as the influence of water salinity."
improve user-friendliness,Research and test new methods to make a product such as a website or map easier to use and understand.
Microsoft Visual C++,"The computer program Visual C++ is a suite of software development tools for writing programs, such as compiler, debugger, code editor, code highlights, packaged in a unified user interface. It is developed by the software company Microsoft."
crime victims' rights,Legal rights to which victims of a crime are entitled to under national law.
sign income tax returns,"Revise, file, and act as a guarantee reference that the income tax returns are in order and according to the governmental requirements."
attend rehearsals,"Attend rehearsals in order to adapt sets, costumes, make-up, lighting, camera set up, etc."
perform on-treatment review,"Assess patients regularly while they are undergoing radiotherapy, prescribing drugs to counteract side effects where necessary, or referring them to other health professionals if needed."
sword fighting,The various techniques and rules to safely use swords to re-enact combat scenes.
