skill_label,c_layer1,c_layer2,c_layer3
legal requirements related to ammunition,6,0,0
focus lighting equipment,4,1,1
kosher meat,1,0,4
operate a forecourt site,6,0,1
work with an artistic team,4,3,1
refer healthcare users,0,1,0
develop a specific interior design,3,4,3
adhere to OHSAS 18001,3,0,0
provide pre-treatment information,0,1,0
fermentation processes of beverages,1,4,5
accept own accountability,0,0,3
lathe machine parts,5,4,3
types of glazing,5,1,2
define technology strategy,10,2,3
manoeuvre bus,1,1,1
monitor forage grazing plans,8,0,3
perform mortuary facility administration,0,1,2
move treated wood,5,0,5
inspect cables,3,1,0
monitor stationary rail sensors,5,1,7
purchase supplies,1,2,2
clinical microbiology,0,1,2
install PVC piping,5,1,0
sell furniture,6,0,10
monitor food production documentation,1,0,1
advise on family planning,0,3,2
draw up artistic project proposals,4,2,0
advise clients on moving services,2,1,1
glue film reels,4,7,0
types of planing cutters,5,4,3
engineering principles,3,4,1
observe products' behaviour,5,0,5
monitor sociological trends,4,1,0
report touristic facts,2,3,4
monitor shelves loading,6,3,2
plan self-organisation,1,6,0
assist customers in trying out sporting goods,6,0,11
create 3D environments,10,1,2
work with pre-production team,4,3,2
electrooptics,3,3,2
design medical devices,3,4,2
air transport law,1,5,0
process commissioned instructions,2,1,0
manage packaging material,1,0,4
business model,2,2,2
make farrier tools and supplies,8,1,2
remove snow from airport operational areas,1,5,3
perform water treatment procedures,3,0,0
public housing legislation,2,4,0
advise on curriculum development,7,4,1
forecast workload,2,3,3
assume responsibility for maintaining a safe ship environment,1,2,1
inspect dry cleaning materials,2,3,0
adapt leadership styles in healthcare,0,1,0
administer exams,7,4,1
teach energy principles,7,2,2
stenography,2,1,0
book reviews,6,0,6
develop professional identity in social work,0,0,0
provide support to authors,4,5,0
train staff about product features,10,4,1
carry out specialised packing for customers,6,0,0
tend air-cleaning system,1,0,3
implement corporate governance,10,2,3
teach ESOL language class,7,4,0
prepare meat products for shipping,1,0,4
remove wax from honeycombs,1,0,1
maintain personal development in psychotherapy,0,3,1
evaluate delivery of radiation treatment,0,1,3
prevent outbreaks of communicable diseases in the community,0,1,2
liaise with logistics management teams,1,1,2
design circuit boards,3,3,1
prescribe treatments related to surgical procedures,0,1,8
escort pedestrians across streets,1,7,2
systems development life-cycle,10,2,1
deal with challenging people,8,3,1
types of thread,5,4,2
perform detailed tobacco manufacturing operations,1,0,2
conduct detailed evaluation of quality standards,6,4,4
de-rig electronic equipment,4,1,1
manage personal professional development in sport,2,3,6
types of wine,1,0,1
legal use-of-force,1,7,2
manage human resources,3,4,0
carry out stock rotation,1,3,3
manage needs for stationery items,2,1,0
pesticides sprayers,8,0,0
dispose of hazardous waste,5,3,1
trends in fashion,6,0,2
integrate scientific findings into music therapy practice,0,3,0
manage operational budgets,2,3,2
setup the bar area,1,3,1
metal hot rolling technology,5,4,2
manage members,2,0,0
influence voting behaviour,2,0,3
wire harnesses,3,1,0
electrical instrumentation engineering,3,2,0
handle financial transactions,2,4,2
epidemiology,0,1,2
sommelier activities,6,3,1
radioactive contamination,3,5,1
"set health, hygiene, safety and security standards",2,3,4
appropriate raw materials for specific spirits,1,0,1
foreign valuta,2,4,2
oversee excavation,3,2,1
medical device vigilance reporting systems,0,1,2
heat transfer processes,3,0,1
implement risk management for outdoors,1,6,0
traditional wood caulking materials,5,3,3
ensure diving operations conform with plan,5,1,1
certify the performance of veterinary procedures,8,3,2
apply footwear finishing techniques,9,3,2
extract juices,1,3,1
preheat kiln car,5,0,5
manage closed-circuit television system,10,3,0
rack wines,1,0,1
implement safety management systems,1,5,3
Waterfall development,10,2,1
collaborate on international energy projects,3,0,2
environmental policy,3,5,1
resource description framework query language,10,0,1
sanitary technology,0,1,4
tourist resources of a destination for further development,2,3,4
conduct chemical testing on basic metals,3,2,0
sanitise winery area,8,0,3
manage database,10,0,0
cued speech,0,1,5
integrate system components,10,3,1
diagnose mental disorders,0,3,1
provide emotional support to the bereaved,1,3,2
teach astronomy,7,3,2
monitor guest access,1,7,0
scale copies,5,3,2
work analytically,3,2,1
processes of foods and beverages manufacturing,1,0,1
empower social service users,0,0,0
identify defects on raw hides,9,1,1
produce drum components,5,2,3
operate pneumatic conveyor chutes,1,0,1
dairy manufacturing specifications,1,0,3
plan sports instruction programme,7,3,3
build devices into props,4,1,2
perform fast changeover,4,2,2
revise translation works,4,0,0
insert wick,5,0,6
forecast future ICT network needs,10,2,2
plan supply chain logistics for footwear and leather goods,9,3,0
assess cage water quality,8,4,0
measure trees,8,2,1
add coils to ceramic work,4,6,0
control train movement,1,1,4
research improvement of crop yields,3,4,2
optics,3,3,2
counsel on nutrition and its impact on oral health,0,1,0
undertake continuous professional development in fishery operations,8,4,0
develop a collaborative therapeutic relationship,0,1,0
inspect capsules,5,0,8
fish grading,8,4,2
manage documentation for dangerous goods,1,1,5
disassemble equipment,1,0,3
tolerate strong smells,1,0,4
monitor developments in technology used for design,4,1,0
architectural conservation,3,4,3
create a prevention security plan for the store,1,7,0
types of electronics,3,3,1
write reports on emergency cases,0,1,4
food dehydration processes,1,0,0
sort waste,5,1,3
operate laminating machine,5,3,0
Process-based management,10,0,1
take referred patients,0,3,0
ensure safety of exercise environment,0,1,1
remove road surface,5,1,3
maintain the greenhouse,8,0,1
aircraft mechanics,3,4,0
manage a healthcare unit budget,0,1,8
agricultural sector policies,2,0,5
work in crises areas,2,0,0
"coffee, tea, cocoa and spice products",6,2,1
colour glass,3,3,2
train dealers,4,4,0
review distribution management procedures,9,1,2
maintain vessel safety and emergency equipment,1,2,0
robotics,3,3,0
perform process control in the wearing apparel industry,9,0,0
construction methods,3,5,2
apply crisis management,2,0,2
assist guest departure,1,3,2
WhiteHat Sentinel,10,2,0
handle scanning material safely,5,3,2
apply radiation protection procedures,0,1,3
manage sporting career,4,4,2
report unsafe behaviour,1,7,2
examine gems,5,2,2
operation of transport equipment,8,4,0
newsletter analysis,4,5,3
types of propellants,5,0,4
stack timber,5,0,5
couple bogies to rail vehicles,5,4,0
fisheries legislation,3,4,2
perform kiln fermentation of tobacco leaves,1,0,2
chemical products,6,2,1
provide technical expertise,7,1,3
acquire system component,10,2,2
operate hatchery trays,8,4,0
manage purchasing cycle,6,2,2
determine footwear warehouse layout,9,3,2
operate road marking machine,5,1,3
assess the life cycle of resources,3,5,2
follow up accounts receivables,2,4,1
fertilisation principles,8,0,1
monitor patients' progress related to treatment,0,1,1
clean parts of vessels,1,2,2
set up extrusion head,5,0,4
nurse plants,8,0,2
post-processing of photographs,4,5,1
identify patients' medical records,0,1,2
organise quality circle,5,1,2
follow industry codes of practice for aviation safety;,1,5,3
cope with challenging circumstances in the veterinary sector,8,3,1
printing on large scale machines,5,3,2
spot other climbers,5,1,4
bundle fabrics,9,0,1
content marketing strategy,2,2,0
injection moulding machine parts,5,0,6
study prices of wood products,3,5,2
work in a landscape team,8,0,2
internal auditing,2,4,1
apply spraying techniques,5,4,1
manufacturing of jewellery,5,4,0
install crane equipment,5,1,3
develop footwear and leather goods marketing plans,9,3,1
issue penalties to violators of the sanitation code,3,5,1
apply colour grading,4,3,2
attach pendulums,6,4,1
applied music therapy,0,3,0
communicate with others who are significant to service users,0,0,2
specify digital game scenes,10,1,2
create flower arrangements,6,0,9
develop forestry strategies,8,2,4
manage sheep breeding,8,3,3
maintain storage facilities,8,0,1
train operating procedures,1,1,4
music and video industry,4,3,2
set up animation elements,4,3,0
train reception staff,1,3,2
represent artistic production,4,2,2
interpret electroencephalograms,0,1,8
pack leather,9,1,2
public auction procedures,2,1,2
treat envelopes,5,3,0
modern portfolio theory,2,4,2
metal coating technologies,5,4,1
act for an audience,4,2,1
use music according to the needs of patients,0,3,0
operate dry cleaning pressing machines,1,3,0
adapt sets,4,1,2
transport drilling rigs,5,1,1
synthetic resins,5,0,3
neuropathology,0,1,8
maintain inventory of tools,1,1,5
provide individual exercise programmes,0,1,1
build a strategic marketing plan for destination management,2,3,4
manage wine cellar inventory,1,0,1
define geographic sales areas,2,2,1
sell software products,6,0,0
drug administration regulations,3,2,0
provide on-board safety training,1,2,0
aviation meteorology,1,5,0
restore antique clocks,6,4,1
convert currency,2,4,2
impact of meteorological phenomena on mining operations,3,5,2
handle etching chemicals,5,2,2
assist patients with rehabilitation,0,1,8
prescribe tests for physiotherapy,0,1,8
pass on trade techniques,5,2,3
plan social service process,0,0,0
monitor textile manufacturing developments,9,2,1
perform stunts,4,3,1
perform strategic planning in the food industry,1,4,5
livestock feeding,8,3,3
advise on site selection,3,5,0
demolish structures,3,5,2
journalism,7,1,0
types of packaging used in industrial shipments,1,1,0
manage cellar operations,8,0,3
maintain privacy in escort services,1,3,2
arrange rental car drop-off,6,1,0
advise on wine quality improvement,8,0,3
preserve original text,4,0,0
sell power tools,6,4,0
remove finished casts,5,0,6
coordinate operational activities,2,3,4
prepare for small craft operation,8,4,0
administer specific drugs to facilitate breeding,8,3,3
natural areas maintenance,8,2,1
hold group music therapy sessions,0,3,0
Adobe Illustrator,10,1,3
create wigs,4,1,2
operate games,4,4,5
hair products,6,4,0
use microphone,4,3,4
liaise between the client and various transportation services,1,2,1
handle bulk transfer of raw material,1,0,3
transfer kiln-baked products,5,0,5
dig soil mechanically,5,1,3
organise an exhibition,4,6,1
stock the bar,1,3,1
greet guests,1,3,2
beeswax,5,0,6
answer requests for quotation,5,1,2
follow reporting procedures,1,3,0
negotiate sale of commodities,6,2,2
perform planning,3,5,1
laser types,5,4,0
follow-up after patients' surgery,0,1,8
assemble insulating glazing units,5,1,2
place orders for flower products,8,0,1
dipping tank types,5,0,4
types of sawing blades,5,4,3
provide pharmaceutical advice,0,1,0
announce bingo numbers,4,4,3
administer ingredients in food production,1,0,3
ensure compliance with gas distribution schedule,3,0,0
monitor customer inquiries,1,1,3
maintain voyage logs,1,2,1
maintain healthcare user data confidentiality,0,1,2
trade foreign currencies,2,4,2
cleaning techniques,1,3,0
enzymatic processing,1,4,3
filter edible oils,1,0,3
analyse energy consumption,3,0,2
enhance website visibility,10,1,1
maintain inventory of airport operations,1,5,3
select music for performance,4,2,3
undertake procedures to meet helicopter flight requirements,1,5,0
plan shifts of employees,5,1,2
clinical immunology,0,1,2
tend riveting machine,5,4,0
cooperate to resolve information issues,10,0,2
use cutting equipment,1,0,4
biostatistics,0,1,2
nutrients of confectionery,6,0,0
handle fuels,5,4,0
teach food science,7,1,1
recruit members,2,3,0
assemble costume parts,4,1,2
record production data,5,0,7
attend trade fairs,2,4,0
wind wires,3,1,0
manage production of destination promotional materials,2,3,4
order inventories of car care supplies,6,3,0
renew artistic practice,4,2,3
teach further education,7,4,0
maintain core parts,5,0,6
ensure safety of healthcare users,0,1,0
create individual treatment programmes,0,1,6
assemble measuring equipment,3,1,0
health psychology,0,3,1
conduct geochemical research,3,2,1
prepare assembly drawings,3,3,3
neuropsychiatry,0,1,6
ensure health and safety of customers,2,3,6
authoring software,10,1,1
fingerspelling,4,0,3
manage warehouse inventory,1,1,0
use personal protection equipment,4,1,2
test electromechanical systems,3,3,1
tutor students,7,4,0
attend gaming tests,4,0,0
test fragrances against customer satisfaction,1,4,0
restrict bridge traffic,1,1,2
examine cost of antiquarian goods,6,3,4
operate scrap vibratory feeder,5,4,1
motivate staff to reach sales targets,6,3,2
show samples of wall and floor coverings,6,0,0
check tickets at venue entry,1,7,0
record healthcare users' billing information,0,1,1
rhetoric,2,0,3
comply with factory specifications in engine repair,3,1,2
liaise with sports organisations,2,0,0
types of spring,5,2,3
chuchotage interpreting,4,0,2
perform routine lube oil tests,1,2,2
estimate consumption of water,8,0,2
store cocoa pressing products,1,0,0
monitor after sales records,6,1,0
operate sugar washing systems,1,0,3
recommend footwear products to customers,6,0,0
change watch battery,6,0,4
pump paint,5,0,4
exercise neutrality in mediation cases,2,1,2
operate radio dispatch systems for taxis,1,1,1
forensic physics,3,2,1
quality criteria for storage facilities,8,0,1
grade coffee beans,1,0,1
trademarks,2,1,3
monitor tunnel boring machine supplies,5,1,3
electrical power safety regulations,3,0,1
types of piping,5,1,0
create an airport master plan,1,5,3
operate money-processing machine,2,4,2
negotiate with stakeholders,2,3,5
arrange audit,2,4,1
pipeline transport regulations;,3,0,0
maintain availability of spare parts,1,5,3
close sales at auction,6,5,0
manage removal of disabled aircraft,1,5,3
collection management,7,0,1
supervise animal handling for veterinary activities,8,3,2
hearing aids,0,1,5
inspect airfield facilities,1,5,3
handle payments in dentistry,0,1,0
sterilise fermentation tanks,1,0,1
accurise guns,6,4,0
types of barley,1,0,1
record wood treatment information,5,2,1
operate die-cut machines,5,3,0
liaise between theatre direction and design team,4,3,2
operate wave soldering machine,3,1,0
participate in technical aspects of the production,4,2,2
operate electronic measuring instruments,3,4,2
environmental legislation,3,5,1
calculate tax,2,4,1
handle knives used in slaughtering processes,1,0,4
detect flaws in bottles,1,0,3
address aircraft mechanical issues,1,5,0
Internet of Things,10,3,1
maintain irrigation systems,8,0,2
prescribe exercises,0,1,1
develop fish health and welfare management plans,8,4,1
set up pile helmets or sleeves,5,1,3
arrange student accommodation,7,4,1
articulate artistic proposal,4,6,2
historic public speakers,7,4,0
establish vertical gardens,8,0,2
customer relationship management,2,3,0
revise legal documents,2,1,2
clear pipelines,5,1,3
Microsoft Access,10,0,0
perform vision rehabilitation,0,1,0
cleaning industry health and safety measures,2,3,0
balance database resources,10,0,0
control food safety regulations,1,4,4
develop prop effects,4,1,2
use venepuncture procedure equipment,0,1,2
hand gestures,2,1,2
advise customers on building materials,6,0,0
create gambling games concepts,4,4,5
apply sports massage,0,1,1
analyse transport business networks,1,1,2
types of watches,6,0,4
assemble fabrics of large dimensions for outdoors,9,0,1
prosthetic devices,0,1,2
pin parquet,5,1,4
manage payroll,2,3,0
have spatial awareness,1,5,0
utilise content types,10,1,1
prepare travel packages,2,3,4
prepare simple meals on board,1,2,2
community medicine,0,1,6
respond to electrical power contingencies,3,0,1
install glass frames,5,1,2
conduct psychotherapy risk assessments,0,3,1
teach boating principles,7,2,2
measure the human body for wearing apparel,9,0,1
cast metal,5,4,0
assess breaches of licence agreements,2,1,3
control minor maintenance,6,0,1
establish contact with potential donors,2,4,0
develop agricultural production plans,8,0,1
receive kitchen supplies,1,3,3
manage healthcare users' data,0,1,0
alcoholic beverage products,1,3,1
hand props to actors,4,3,3
control pyrotechnics stock,5,0,4
security requirements of goods transported via pipelines,3,0,0
clear woodland,8,2,0
stimulate students' independence,7,4,2
communication studies,7,1,0
inspect raw materials for muscle food processing,1,0,4
work in underwater chamber,5,1,1
supervise motor vehicles manufacture,3,1,2
operate hydraulic jack lift,1,1,4
respiratory therapy,0,1,8
manage obstacle control,1,5,3
control proceedings on board in the event of an emergency,1,2,2
animal transport regulations,1,1,5
organise weight of loads according to lifting equipment capacity,1,1,5
distinguish wood quality,3,5,2
debt systems,2,4,3
gather information to substitute parts,6,4,4
mechanics,3,1,2
carry out shellfish depuration procedures,8,4,0
shipping industry,2,4,2
pedorthics,0,1,2
compression moulding machine parts,5,0,6
provide advice on inventions,2,1,3
operate binder machine,5,3,0
prepare audit schemes for ships,1,2,1
film production process,4,3,2
administer materials to tea bag machines,1,0,3
promote free trade,2,0,5
manage work,2,3,0
perform preventive maintenance on fire fighting vehicles,1,7,1
apply footwear uppers pre-assembling techniques,9,3,2
transportation methods,3,5,2
manage time in forestry,8,2,2
evaluate practice in psychotherapy,0,3,1
adjust the work to the venue,4,2,2
manage rented goods returns,2,3,3
journalistic principles,7,1,0
aquaculture reproduction,8,4,3
tend hoist cement transfer equipment,5,0,4
market entry strategies,2,2,1
specialise in a musical genre,4,2,0
hydrocarbon cracking techniques,3,5,0
alarm systems,1,7,0
execute advertising measures for the vehicles,6,0,1
negotiate with employment agencies,2,1,1
monitor elections,2,0,3
probability theory,10,4,0
process orders from online shop,6,3,3
perform trellis repairs,8,0,3
use concurrent programming,10,3,1
teach basic numeracy skills,7,4,0
produce textile samples,9,2,1
calibrate mechatronic instruments,3,3,0
manage the use of additives in food manufacturing,1,4,1
Ruby (computer programming),10,3,0
consider ergonomic aspects of urban transportation,1,1,7
grade lumber,3,5,2
project commissioning,3,5,1
manage fuel inventory,6,3,0
use computer-aided engineering systems,3,4,0
paint spraying techniques,4,6,2
manage security clearance,1,7,2
label samples,1,0,3
use polishing compounds,5,0,7
define an approach to your fight dicipline,4,2,2
maintain circus rigging equipment,4,2,3
maintain hydraulic forging press,5,4,2
monitor parking areas to maintain security,1,7,0
support vessel manoeuvres,1,2,0
place V-belts on rack,5,0,7
assess animal behaviour,8,3,3
demonstrate professional attitude to clients,0,1,1
organise mail deliveries,1,1,1
obesity,0,1,7
adjust paper bag machine,5,3,0
maintain mechanical equipment,5,4,1
hardware architectures,10,3,0
issue sport equipment,6,4,0
operate fish processing equipment,1,2,0
design well paths,3,5,0
develop translation memory software,10,4,0
advise on bridge replacement,5,1,3
assist with self-medication,0,0,3
test concrete,5,1,3
provide teacher support,7,4,0
match actors to roles,4,3,2
operate dealership management system,6,3,5
sedimentology,3,5,3
inspire enthusiasm for dance,4,2,2
design pipelines with different coating solutions,3,0,0
obtain information on various nautical subjects,1,2,2
osteopathy,0,1,1
inventory management rules,6,0,1
herbicides,8,0,0
advise on food preservation,1,4,2
physical characteristics of railways,1,1,4
mitigate waste of resources,1,4,5
use food cutting tools,1,3,3
tennis,7,3,3
staple spinning machine technology,9,2,2
receive patient referrals with eye conditions,0,1,0
receive veterinary clients and their animals for appointments,8,3,1
sell vehicle parts,6,4,4
match frames to pictures,5,2,0
handle incidents,2,3,6
"hardware, plumbing and heating equipment products",6,2,1
select pattern material,5,0,1
use thermal analysis,3,0,1
manage lost and found articles,1,7,0
present drinks menu,1,3,1
supervise performers' fights,4,2,2
perform laboratory tests on footwear or leather goods,9,3,0
handle working animals,8,3,1
supervise data entry,10,0,2
energy therapy,0,1,1
neuroanatomy of animals,8,3,0
recreation activities,6,0,3
metalworking,5,2,3
various types of sand,5,0,6
operate fishing equipment machinery,1,2,0
usability engineering,10,2,1
liaise with engineers,3,1,2
plan allocation of space,2,4,0
analyse stress resistance of products,3,4,1
animal food products,8,3,2
oversee extra-curricular activities,7,3,4
handle meat processing equipment in cooling rooms,1,0,4
handle documentation for prepared animal feeds,1,0,1
hatchery design,8,4,3
assemble manufactured pipeline parts,3,0,0
manage hospitality revenue,2,3,4
adapt production levels,3,0,3
prepare casting budget,4,3,2
manufacturing of wearing apparel,9,0,0
promote agricultural policies,2,0,5
maintain system logs,5,3,2
process incoming electronics supplies,3,3,1
cook fish,1,3,3
honey constituents,1,0,1
advice on security risk management,2,1,2
coating machine parts,5,4,1
promote sustainable packaging,1,4,4
tend cold extrusion machine,5,4,2
inspect soap production operating units,5,0,4
types of orthopedic supplies,6,0,0
operate wood sawing equipment,5,2,1
supervise waste water treatments,3,0,3
affix memorial plaques,8,0,3
create theatre workbooks,4,3,1
types of bath tubs,5,1,0
apply ICT systems theory,10,0,0
collect biological data,8,4,1
Scala,10,3,0
collect samples,3,5,0
monitor radiation levels,3,5,1
operate mixing of food products,1,0,0
climatology,7,3,2
plan daily ship operations,1,2,1
operate creasing machinery,5,3,0
describe the flavour of different beers,1,0,1
manage service contracts in the drilling industry,3,5,0
follow safety procedures when working at heights,5,1,2
collect healthcare user data under supervision,0,1,2
track shipping sites,6,2,3
put up signs,8,0,2
maintain camping facilities,8,2,4
discern written communication,6,1,0
program home alarm systems,5,1,0
tend V-belt covering machine,5,0,7
cosmetic dental procedures,0,1,0
feed the slate mixer,5,0,4
maintain sanding machines,5,2,1
perform hand pruning,8,0,2
manage vault access,2,4,2
mine safety legislation,3,5,0
practice humour,4,2,1
teach chemistry,7,3,2
provide advice on furniture maintenance,5,2,0
distribute pensions,6,1,2
perform kiln maintenance,5,0,5
perform project management,3,3,3
laboratory methods in biomedical sciences,0,1,2
communicate mine equipment information,3,5,0
counsel healthcare users on medicines,0,1,1
follow a brief,5,3,2
calculate materials,3,4,3
process man-made fibres,9,2,2
control train departures,1,1,4
handle humanitarian response programs,0,0,1
handle intermodal equipment,1,1,0
plan multi-agenda event,2,3,4
replace tyres,5,0,0
carry out maintenance on cage equipment and machinery,8,4,0
conduct performance tests,3,1,2
cope with blood,1,0,4
electrical operation of trolley buses,1,1,1
fabric spreading in the fashion industry,9,0,1
manage a good diction,4,0,2
budget for financial needs,2,4,3
investigate social security applications,2,4,0
satisfy technical requirements,3,4,3
work on the effects of abuse,0,3,1
sell floor and wall coverings,6,0,0
debug software,10,3,1
take drive-through orders,1,3,1
food hygiene rules,6,2,0
design graphics,10,1,3
demonstrate specialisation in a dance tradition,4,2,2
manage corrective actions,1,4,5
keep promotions records,6,3,2
organise compositions,4,2,0
test artist flying systems,4,2,2
maintain the trust of service users,0,0,3
teach electricity principles,7,2,2
examine geochemical samples,3,5,3
pilot boat for medical emergency services,0,1,4
use CAD for lasts,9,3,1
negotiate land acquisition,3,5,0
manage aquatic resources,8,4,0
performing arts fights legal regulations,4,2,2
instruct on set up of equipment,4,1,2
work in multidisciplinary health teams,0,1,0
supplier management,2,3,3
communicate with tenants,2,4,0
repair medical devices,3,4,2
sell gaming software,6,0,0
liaise with port users,1,2,1
administer anaesthetics to patients,0,1,2
work with the camera crew,4,3,3
execute vehicle maintenance,1,1,1
assess ergonomics of the workplace,1,4,1
manage physical resources,2,3,6
pose nude,4,3,1
make made-to-measure garments,9,0,1
wood products,3,5,2
cope with decompression,5,1,1
prune plants,8,0,2
process medical insurance claims,0,1,1
assess healthcare users' risk for harm,0,3,1
detect microorganisms,1,4,3
supervise physiotherapy students,0,1,8
identify necessary human resources,2,1,1
perform body piercings,6,4,0
identify cloth items,1,3,0
manufacture staple yarns,9,2,2
take orders for special publications,6,0,6
maintain dredging equipment,5,1,3
determine historic climate changes,3,5,3
measure reservoir volumes,3,5,0
manage gambling operation,4,4,1
design evaluation methods in music therapy,0,3,0
communicate effectively in healthcare,0,1,0
religious studies,7,3,2
merchandising techniques,6,0,0
prevent technical problems with flying equipment,4,1,0
execute feasibility study,3,4,1
supervise laboratory operations,3,2,2
perform bone marrow transplant,0,1,2
negotiate terms with suppliers,1,0,4
apply sport games rules,4,4,2
examine dental models and impressions,0,1,0
maintain clocks,6,4,1
manage port operations,1,2,1
surveying methods,3,5,3
service rooms,1,3,2
drive two-wheeled vehicles,1,1,1
air traffic management,3,5,2
online job platforms,2,1,1
"design the digital interface of gambling, betting and lottery games",4,4,5
design wind farm collector systems,3,5,2
emergent technologies,10,2,1
draw up rehearsal notes,4,3,1
packaging processes,3,2,0
create musical forms,4,2,0
analyse business objectives,2,3,5
weigh animals for food manufacturing,1,0,4
direct amusement park clients,1,8,0
arrange audio-visual products in classification order,6,0,0
protective safety equipment,5,4,0
CAD for footwear,9,3,1
create animal records,8,3,3
take weather conditions into account,1,5,2
snowboard,7,3,3
collaborate with designers,4,6,0
determine visual concepts,4,3,0
use textile finishing machine technologies,9,2,0
perform enamelling,5,2,2
ensure law application,1,7,2
clean train interiors,1,3,0
attend to sophrology clients,0,1,1
take artistic vision into account,4,3,2
operate rotary vacuum-drum filter,5,3,1
tend pyrotechnics drying room,5,0,4
speak in public,2,0,3
study fish migration,8,4,2
improve user-friendliness,3,5,3
Microsoft Visual C++,10,3,0
crime victims' rights,0,0,1
sign income tax returns,2,1,2
attend rehearsals,4,3,3
perform on-treatment review,0,1,3
sword fighting,4,3,1
sports nutrition,6,0,11
maintain safe engineering watches,3,3,3
perform quick make-up changeovers,4,3,3
study website behaviour patterns,10,1,1
materials in porcelain manufacturing,5,0,1
consider environmental factors in long-term care for animals,8,3,1
attach PEX pipe,5,1,0
phoniatrics,0,1,5
design weft knitted fabrics,9,2,0
wash hair,6,4,0
measure flatness of a surface,5,4,1
assign vehicles in accordance with requirements,1,1,2
maintain database security,10,0,0
adhere to standards of national and international safety programmes,3,5,1
optical engineering,3,3,2
types of containers,3,4,0
assist with vaccination procedures,8,4,0
use dialect,4,3,1
battery testers,3,1,0
prescribe exercises for controlled health conditions,0,2,0
prosthetic-orthotic examination,0,1,2
monitor electric generators,3,0,1
paper production processes,3,5,2
prepare personal work environment,4,1,2
sing,4,2,1
risk management,2,3,3
maintain records of financial transactions,2,4,2
inland waterway police regulations,1,2,2
financial products,2,4,2
assemble performance equipment,4,1,2
use casts of body parts,0,1,2
recommend hearing aids,0,1,5
administrative tasks in a medical environment,0,1,1
execute marketing plan,2,3,5
develop non-hazardous waste management strategies,3,5,1
administer oaths,2,1,2
position straightening rolls,5,4,1
provide customer information related to repairs,3,1,1
logopaedics,0,1,5
monitor regulations in social services,0,0,2
graffiti removal techniques,1,3,0
monitor compliance with EU marketing standards for vegetables,6,3,1
medical genetics,0,1,2
develop preventive maintenance procedures for instruments,3,1,0
operate optical measuring equipment,6,0,7
filter paint,5,0,4
inspect casino floor,4,4,4
pack fragile items for transportation,5,0,1
operate metal polishing equipment,5,4,1
apply information security policies,10,0,2
ICT power consumption,10,2,3
bakery products,6,3,6
chemical constitution of apples,1,0,1
inspect industrial equipment,3,0,2
statistical quality control,5,1,2
maintain lottery equipment,2,3,2
develop competition policies,2,0,5
maintain ground,8,0,2
perform cosmetic procedures,7,2,2
respond to inquiries in written form,2,1,0
logging,3,5,0
manage key performance indicators of call centres,2,3,0
monitor vehicle maintenance activities,6,4,4
feed soap chips machine,5,0,4
examine animals,8,1,0
provide assistance with job search,7,4,1
prepare paint ingredients,5,0,4
provide geophysical support,3,5,0
manage waste rock,3,5,0
operate remote broadcast equipment,4,3,4
maintain moving constructions on stage,4,1,1
animal breeding programmes,8,3,0
apply Montessori teaching strategies,7,4,2
teach communication sciences,7,1,0
install gas heaters,3,1,1
maintain inventory of meat products,6,0,8
manage company fleet,1,1,2
operate garment manufacturing machines,9,0,0
identify the factors causing changes in food during storage,1,4,3
perform bilateral interpretation,4,0,2
apply digital mapping,3,5,3
protect plants during pest control,8,0,0
test semiconductors,3,1,0
swim,1,2,0
ensure longevity of choreography,4,2,2
satisfy aesthetic requirements,3,4,3
liaise with cultural partners,4,5,2
photogrammetry,3,5,3
assess patients after surgery,0,1,2
monitor use of outdoor equipment,1,6,0
manage enrolment,7,4,1
assess environmental impact in aquaculture operations,8,4,1
lay stones,5,1,2
control flow of matter used in oil processing,1,0,3
sociology applied to paramedical science,0,1,4
ensure core uniformity,5,0,6
teach public speaking principles,7,4,0
tend tumbling machine,5,2,2
test materials,3,2,0
ergonomics,0,1,6
monitor patient's vital signs,0,1,4
variety of grapes,1,0,1
coordinate technical teams in artistic productions,4,3,2
wrap yarn around bobbins,9,2,2
teach dentistry,7,1,1
pharmacokinetics,0,1,0
develop immigration policies,2,0,5
inspect maritime operations,1,2,1
estimate repair priority,5,1,3
define prop building methods,4,1,2
collect live fish,8,4,0
manage different departments in a hospitality establishment,2,3,4
acupressure,0,1,1
teach reading strategies,7,4,0
identify preventive actions,3,1,2
conduct a homeopathic consultation,0,1,1
design open spaces,3,4,3
maintain ambulance room stock,1,7,0
test electrical equipment,3,1,0
flexography,3,0,3
use different communication channels,6,3,1
landscape architectural instruments,7,1,3
perform follow-up on pipeline route services,3,0,0
hire beaters,8,2,0
authenticate documents,2,1,2
brush solvent,5,0,0
provide pre-hospital emergency care of trauma,0,1,4
perform currency reserve management,2,4,2
emission standards,6,4,4
physical science applied to paramedical practice,0,1,4
advise on legal decisions,2,1,2
tabulate survey results,2,2,3
type error-free documents,2,1,0
manufacturing of heating equipment,5,4,1
supervise crop production,8,0,1
set up multimedia equipment,4,5,3
assist police investigations,1,7,0
sell household goods,6,0,10
create event-specific menus,1,3,1
train employees in mine safety,3,5,0
clean stalls,8,1,2
check in luggage,1,5,2
act as a resource person in dance,4,2,2
fertiliser products,8,0,0
measure chemical substance viscosity,5,0,4
provide customers with order information,6,1,0
snap chalk line,5,1,2
